id_olt,etat_jakarta,date_jakarta
OLT4078,A planifier,2025-01-09 22:00:45
OLT8767,A planifier,2025-01-09 22:00:45
OLT2851,Refus̩,2025-01-13 22:00:18
OLT8710,Refus̩,2025-01-13 22:00:18
OLT3100,A planifier,2025-01-14 22:00:20
OLT8723,A planifier,2025-01-14 22:00:20
OLT2424,A planifier,2025-02-12 22:00:38
OLT8687,A planifier,2025-02-12 22:00:38
OLT2050,A planifier,2025-03-21 00:00:01
OLT2951,A planifier,2025-03-23 22:00:25
OLT8838,A planifier,2025-03-23 22:00:25
OLT3653,A planifier,2025-06-26 22:00:22
OLT8678,A planifier,2025-06-26 22:00:22
OLT2830,A planifier,2025-08-06 22:00:00
OLT9196,A planifier,2025-08-06 22:00:00
OLT4043,A planifier,2025-08-19 08:00:00
OLT2076,A planifier,2025-08-20 08:00:00
OLT9188,A planifier,2025-08-20 08:00:00
OLT4353,A planifier,2025-08-22 08:00:00
OLT9275,A planifier,2025-08-22 08:00:00
OLT2343,Refus̩,2025-08-28 22:00:35
OLT8993,Refus̩,2025-08-28 22:00:35
OLT4636,Refus̩,2025-09-10 22:00:00
OLT9324,Refus̩,2025-09-10 22:00:00
OLT5696,Refus̩,2025-09-11 22:00:00
OLT9352,Refus̩,2025-09-11 22:00:00
OLT5214,Refus̩,2025-09-11 22:00:54
OLT9341,Refus̩,2025-09-11 22:00:54
OLT2471,Refus̩,2025-09-14 22:00:26
OLT8816,Refus̩,2025-09-14 22:00:26
OLT5858,Refus̩,2025-09-25 22:00:40
OLT9354,Refus̩,2025-09-25 22:00:40
OLT5576,Refus̩,2025-10-08 22:00:00
OLT9350,Refus̩,2025-10-08 22:00:00
OLT5570,Refus̩,2025-10-09 22:00:00
OLT9349,Refus̩,2025-10-09 22:00:00
OLT5186,Refus̩,2025-10-14 22:00:00
OLT9337,Refus̩,2025-10-14 22:00:00
OLT3580,A planifier,2025-10-15 08:30:28
OLT9232,A planifier,2025-10-15 08:30:28
OLT4799,Planifi̩,2025-10-30 22:00:17
OLT8940,Planifi̩,2025-10-30 22:00:17
OLT4353,Attente pr̩requis,2025-11-03 08:30:56
OLT9275,Attente pr̩requis,2025-11-03 08:30:56
OLT4031,Attente pr̩requis,2025-11-04 22:00:16
OLT9142,Attente pr̩requis,2025-11-04 22:00:16
OLT4110,Attente pr̩requis,2025-11-04 22:00:37
OLT8916,Attente pr̩requis,2025-11-04 22:00:37
OLT2471,Attente pr̩requis,2025-11-05 22:00:42
OLT4340,Attente pr̩requis,2025-11-05 22:00:42
OLT8816,Attente pr̩requis,2025-11-05 22:00:42
OLT9273,Attente pr̩requis,2025-11-05 22:00:42
OLT3112,Attente pr̩requis,2025-11-05 22:00:49
OLT3247,Attente pr̩requis,2025-11-05 22:00:49
OLT9091,Attente pr̩requis,2025-11-05 22:00:49
OLT9104,Attente pr̩requis,2025-11-05 22:00:49
OLT2956,Attente pr̩requis,2025-11-06 22:00:02
OLT9203,Attente pr̩requis,2025-11-06 22:00:02
OLT5202,Attente pr̩requis,2025-11-06 22:00:11
OLT8954,Attente pr̩requis,2025-11-06 22:00:11
OLT0144,Attente pr̩requis,2025-11-06 22:00:50
OLT8783,Attente pr̩requis,2025-11-06 22:00:50
OLT3148,Attente pr̩requis,2025-11-12 08:30:06
OLT9368,Attente pr̩requis,2025-11-12 08:30:06
OLT4300,Attente pr̩requis,2025-11-12 08:30:12
OLT9373,Attente pr̩requis,2025-11-12 08:30:12
OLT2587,Attente pr̩requis,2025-11-12 08:30:26
OLT9521,Attente pr̩requis,2025-11-12 08:30:26
OLT2942,Attente pr̩requis,2025-11-12 08:30:54
OLT5194,Attente pr̩requis,2025-11-12 08:30:54
OLT9202,Attente pr̩requis,2025-11-12 08:30:54
OLT9392,Attente pr̩requis,2025-11-12 08:30:54
OLT4337,Attente pr̩requis,2025-11-12 22:00:38
OLT9271,Attente pr̩requis,2025-11-12 22:00:38
OLT2410,Attente pr̩requis,2025-11-12 22:00:42
OLT8999,Attente pr̩requis,2025-11-12 22:00:42
OLT4641,Attente pr̩requis,2025-11-12 22:00:48
OLT9325,Attente pr̩requis,2025-11-12 22:00:48
OLT2239,Attente pr̩requis,2025-11-12 22:00:50
OLT8809,Attente pr̩requis,2025-11-12 22:00:50
OLT6044,Attente pr̩requis,2025-11-13 08:30:41
OLT9400,Attente pr̩requis,2025-11-13 08:30:41
OLT3715,Attente pr̩requis,2025-11-13 22:00:11
OLT9130,Attente pr̩requis,2025-11-13 22:00:11
OLT2409,Attente pr̩requis,2025-11-13 22:00:14
OLT8998,Attente pr̩requis,2025-11-13 22:00:14
OLT2593,Attente pr̩requis,2025-11-13 22:00:43
OLT9402,Attente pr̩requis,2025-11-13 22:00:43
OLT5214,Attente pr̩requis,2025-11-13 22:00:54
OLT9341,Attente pr̩requis,2025-11-13 22:00:54
OLT4755,Attente pr̩requis,2025-11-13 22:00:57
OLT9170,Attente pr̩requis,2025-11-13 22:00:57
OLT5193,Attente pr̩requis,2025-11-14 08:30:16
OLT9391,Attente pr̩requis,2025-11-14 08:30:16
OLT5266,Attente pr̩requis,2025-11-17 08:30:00
OLT9397,Attente pr̩requis,2025-11-17 08:30:00
OLT5570,Attente pr̩requis,2025-11-17 08:30:02
OLT9349,Attente pr̩requis,2025-11-17 08:30:02
OLT3597,Refus̩,2025-11-17 08:30:25
OLT9371,Refus̩,2025-11-17 08:30:25
OLT2574,Attente pr̩requis,2025-11-17 09:00:22
OLT9410,Attente pr̩requis,2025-11-17 09:00:22
OLT3739,Attente pr̩requis,2025-11-18 08:30:00
OLT4640,Attente pr̩requis,2025-11-18 08:30:00
OLT4919,Attente pr̩requis,2025-11-18 08:30:00
OLT9382,Attente pr̩requis,2025-11-18 08:30:00
OLT9541,Attente pr̩requis,2025-11-18 08:30:00
OLT9569,Attente pr̩requis,2025-11-18 08:30:00
OLT5576,Attente pr̩requis,2025-11-18 08:30:05
OLT9350,Attente pr̩requis,2025-11-18 08:30:05
OLT6107,Attente pr̩requis,2025-11-18 09:00:06
OLT9464,Attente pr̩requis,2025-11-18 09:00:06
OLT2598,Attente pr̩requis,2025-11-18 09:00:54
OLT9413,Attente pr̩requis,2025-11-18 09:00:54
OLT3923,Attente pr̩requis,2025-11-19 08:30:00
OLT4614,Attente pr̩requis,2025-11-19 08:30:00
OLT4652,Attente pr̩requis,2025-11-19 08:30:00
OLT5691,Attente pr̩requis,2025-11-19 08:30:00
OLT9380,Attente pr̩requis,2025-11-19 08:30:00
OLT9383,Attente pr̩requis,2025-11-19 08:30:00
OLT9556,Attente pr̩requis,2025-11-19 08:30:00
OLT9570,Attente pr̩requis,2025-11-19 08:30:00
OLT5695,Attente pr̩requis,2025-11-19 09:00:47
OLT9557,Attente pr̩requis,2025-11-19 09:00:47
OLT2507,Attente pr̩requis,2025-11-19 22:00:46
OLT8817,Attente pr̩requis,2025-11-19 22:00:46
OLT3924,Attente pr̩requis,2025-11-20 08:30:00
OLT9571,Attente pr̩requis,2025-11-20 08:30:00
OLT3488,Attente pr̩requis,2025-11-20 22:00:05
OLT8888,Attente pr̩requis,2025-11-20 22:00:05
OLT2077,Attente pr̩requis,2025-11-20 22:00:11
OLT8974,Attente pr̩requis,2025-11-20 22:00:11
OLT3716,Attente pr̩requis,2025-11-20 22:00:41
OLT9131,Attente pr̩requis,2025-11-20 22:00:41
OLT4482,Attente pr̩requis,2025-11-20 22:00:55
OLT6302,Attente pr̩requis,2025-11-20 22:00:55
OLT9313,Attente pr̩requis,2025-11-20 22:00:55
OLT2079,Attente pr̩requis,2025-11-20 22:00:57
OLT8976,Attente pr̩requis,2025-11-20 22:00:57
OLT2592,Attente pr̩requis,2025-11-24 08:00:00
OLT4740,Attente pr̩requis,2025-11-24 08:00:00
OLT9523,Attente pr̩requis,2025-11-24 08:00:00
OLT9594,Attente pr̩requis,2025-11-24 08:00:00
OLT5572,Attente pr̩requis,2025-11-24 08:30:00
OLT9554,Attente pr̩requis,2025-11-24 08:30:00
OLT2591,Attente pr̩requis,2025-11-25 08:00:00
OLT4113,Attente pr̩requis,2025-11-25 08:00:00
OLT5057,Attente pr̩requis,2025-11-25 08:00:00
OLT9522,Attente pr̩requis,2025-11-25 08:00:00
OLT9546,Attente pr̩requis,2025-11-25 08:00:00
OLT9593,Attente pr̩requis,2025-11-25 08:00:00
OLT5400,Refus̩,2025-11-25 08:30:00
OLT6110,Attente pr̩requis,2025-11-25 08:30:00
OLT9461,Refus̩,2025-11-25 08:30:00
OLT9614,Attente pr̩requis,2025-11-25 08:30:00
OLT4347,Attente pr̩requis,2025-11-25 08:30:17
OLT9375,Attente pr̩requis,2025-11-25 08:30:17
